"mol"	"rseq"	"mseq"	"S"	"rmsd_refine"	"E_conf"	"E_place"	"E_score1"	"E_refine"	"E_score2"	"ChemicalName"	"ChemicalID"	"CasRN"	"GeneSymbol"	"GeneID"	"GeneForms"	"Organism"	"OrganismID"	"Interaction"	"InteractionActions"	"PubMedIDs"	"InterActs"	"Outcomes"	"Actions"	"molecular_weight"	"logP"	"hydrogen_bond_acceptors"	"hydrogen_bond_donors"	"Lipinski"	"QED"	"stereo_centers"	"tpsa"	"AMES"	"BBB_Martins"	"Bioavailability_Ma"	"CYP1A2_Veith"	"CYP2C19_Veith"	"CYP2C9_Substrate_CarbonMangels"	"CYP2C9_Veith"	"CYP2D6_Substrate_CarbonMangels"	"CYP2D6_Veith"	"CYP3A4_Substrate_CarbonMangels"	"CYP3A4_Veith"	"Carcinogens_Lagunin"	"ClinTox"	"DILI"	"HIA_Hou"	"NR.AR.LBD"	"NR.AR"	"NR.AhR"	"NR.Aromatase"	"NR.ER.LBD"	"NR.ER"	"NR.PPAR.gamma"	"PAMPA_NCATS"	"Pgp_Broccatelli"	"SR.ARE"	"SR.ATAD5"	"SR.HSE"	"SR.MMP"	"SR.p53"	"Skin_Reaction"	"hERG"	"Caco2_Wang"	"Clearance_Hepatocyte_AZ"	"Clearance_Microsome_AZ"	"Half_Life_Obach"	"HydrationFreeEnergy_FreeSolv"	"LD50_Zhu"	"Lipophilicity_AstraZeneca"	"PPBR_AZ"	"Solubility_AqSolDB"	"VDss_Lombardo"	"molecular_weight_drugbank_approved_percentile"	"logP_drugbank_approved_percentile"	"hydrogen_bond_acceptors_drugbank_approved_percentile"	"hydrogen_bond_donors_drugbank_approved_percentile"	"Lipinski_drugbank_approved_percentile"	"QED_drugbank_approved_percentile"	"stereo_centers_drugbank_approved_percentile"	"tpsa_drugbank_approved_percentile"	"AMES_drugbank_approved_percentile"	"BBB_Martins_drugbank_approved_percentile"	"Bioavailability_Ma_drugbank_approved_percentile"	"CYP1A2_Veith_drugbank_approved_percentile"	"CYP2C19_Veith_drugbank_approved_percentile"	"CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile"	"CYP2C9_Veith_drugbank_approved_percentile"	"CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile"	"CYP2D6_Veith_drugbank_approved_percentile"	"CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile"	"CYP3A4_Veith_drugbank_approved_percentile"	"Carcinogens_Lagunin_drugbank_approved_percentile"	"ClinTox_drugbank_approved_percentile"	"DILI_drugbank_approved_percentile"	"HIA_Hou_drugbank_approved_percentile"	"NR.AR.LBD_drugbank_approved_percentile"	"NR.AR_drugbank_approved_percentile"	"NR.AhR_drugbank_approved_percentile"	"NR.Aromatase_drugbank_approved_percentile"	"NR.ER.LBD_drugbank_approved_percentile"	"NR.ER_drugbank_approved_percentile"	"NR.PPAR.gamma_drugbank_approved_percentile"	"PAMPA_NCATS_drugbank_approved_percentile"	"Pgp_Broccatelli_drugbank_approved_percentile"	"SR.ARE_drugbank_approved_percentile"	"SR.ATAD5_drugbank_approved_percentile"	"SR.HSE_drugbank_approved_percentile"	"SR.MMP_drugbank_approved_percentile"	"SR.p53_drugbank_approved_percentile"	"Skin_Reaction_drugbank_approved_percentile"	"hERG_drugbank_approved_percentile"	"Caco2_Wang_drugbank_approved_percentile"	"Clearance_Hepatocyte_AZ_drugbank_approved_percentile"	"Clearance_Microsome_AZ_drugbank_approved_percentile"	"Half_Life_Obach_drugbank_approved_percentile"	"HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile"	"LD50_Zhu_drugbank_approved_percentile"	"Lipophilicity_AstraZeneca_drugbank_approved_percentile"	"PPBR_AZ_drugbank_approved_percentile"	"Solubility_AqSolDB_drugbank_approved_percentile"	"VDss_Lombardo_drugbank_approved_percentile"	"E_orig"	"Rec_index"	"PLIF_raw"	"FP:PLIF"	"PLIF_ligidx"	"LigandInteractions_mol"	"Poly Descriptor Plot_mol"	"2D Patches_mol"	"Shannon Entropy Descriptor_mol"
"[nH]1nccc1"	"1"	"4"	"-3.6023622"	"1.4124572"	"28.944475"	"-35.022877"	"-4.5882711"	"-11.283505"	"-3.6023622"	"pyrazole"	"C031280"	"288-13-1"	"FOXO3"	"2309"	"mRNA"	"Mus musculus"	"10090"	"pyrazole results in decreased expression of FOXO3 mRNA"	"decreases^expression"	"17945193"	"decreases^expression"	"Expression"	"Decrease"	"68.079002"	"0.40970001"	"1"	"1"	"4"	"0.46834329"	"0"	"28.68"	"0.08764828"	"0.63303047"	"0.85707015"	"0.25365406"	"0.18535596"	"0.031172263"	"0.35640666"	"0.015575731"	"0.017661087"	"0.02570143"	"0.30072397"	"0.014276104"	"0.017357007"	"0.74377811"	"0.99999464"	"0.00031708746"	"0.00096458977"	"0.16983332"	"0.089083619"	"0.0008046868"	"0.0029529766"	"0.00039503843"	"0.45651022"	"0.0011265819"	"0.030926889"	"0.0003590089"	"0.028248791"	"0.0053945696"	"0.0016810804"	"0.88169599"	"0.03699607"	"-4.6964431"	"31.023586"	"4.3225598"	"-11.047732"	"-8.3870192"	"2.0701149"	"-0.80467314"	"5.9812975"	"0.92300624"	"-13.217488"	"2.2489338"	"27.142303"	"6.6498642"	"36.680885"	"63.803799"	"42.923615"	"22.489336"	"14.17216"	"30.864676"	"40.558357"	"61.729351"	"73.439316"	"61.419155"	"11.554866"	"84.994186"	"9.8875532"	"32.919735"	"0.58162081"	"72.586273"	"6.1264057"	"17.215975"	"67.429237"	"97.906166"	"4.6529665"	"3.0632029"	"79.100426"	"71.306709"	"5.544785"	"1.8611865"	"16.905777"	"31.795269"	"4.7692904"	"21.752617"	"14.036448"	"64.094612"	"27.219852"	"16.789454"	"91.89608"	"18.57309"	"67.778206"	"45.172546"	"33.811554"	"18.030245"	"62.504848"	"23.070957"	"14.773168"	"2.7142303"	"98.720436"	"0.54284608"	"0"	"1"	"[[9,1,9,7,5,3],[1766,1277,1277,1277,1277,1277],[10428,10398,10398,10398,10398,10398],[2,10,10,10,10,10],[1.5,0.7,0.7,0.7,0.7,0.7]]"	"1 2 3"	"[[1,9,7,5,3],9,9]"	""	""	""	""
"[nH]1nccc1"	"1"	"4"	"-3.5877931"	"1.8857018"	"28.934628"	"-21.410658"	"-4.6392617"	"-10.547139"	"-3.5877931"	"pyrazole"	"C031280"	"288-13-1"	"FOXO3"	"2309"	"mRNA"	"Mus musculus"	"10090"	"pyrazole results in decreased expression of FOXO3 mRNA"	"decreases^expression"	"17945193"	"decreases^expression"	"Expression"	"Decrease"	"68.079002"	"0.40970001"	"1"	"1"	"4"	"0.46834329"	"0"	"28.68"	"0.08764828"	"0.63303047"	"0.85707015"	"0.25365406"	"0.18535596"	"0.031172263"	"0.35640666"	"0.015575731"	"0.017661087"	"0.02570143"	"0.30072397"	"0.014276104"	"0.017357007"	"0.74377811"	"0.99999464"	"0.00031708746"	"0.00096458977"	"0.16983332"	"0.089083619"	"0.0008046868"	"0.0029529766"	"0.00039503843"	"0.45651022"	"0.0011265819"	"0.030926889"	"0.0003590089"	"0.028248791"	"0.0053945696"	"0.0016810804"	"0.88169599"	"0.03699607"	"-4.6964431"	"31.023586"	"4.3225598"	"-11.047732"	"-8.3870192"	"2.0701149"	"-0.80467314"	"5.9812975"	"0.92300624"	"-13.217488"	"2.2489338"	"27.142303"	"6.6498642"	"36.680885"	"63.803799"	"42.923615"	"22.489336"	"14.17216"	"30.864676"	"40.558357"	"61.729351"	"73.439316"	"61.419155"	"11.554866"	"84.994186"	"9.8875532"	"32.919735"	"0.58162081"	"72.586273"	"6.1264057"	"17.215975"	"67.429237"	"97.906166"	"4.6529665"	"3.0632029"	"79.100426"	"71.306709"	"5.544785"	"1.8611865"	"16.905777"	"31.795269"	"4.7692904"	"21.752617"	"14.036448"	"64.094612"	"27.219852"	"16.789454"	"91.89608"	"18.57309"	"67.778206"	"45.172546"	"33.811554"	"18.030245"	"62.504848"	"23.070957"	"14.773168"	"2.7142303"	"98.720436"	"0.54284608"	"0"	"1"	"[[],[],[],[],[]]"	""	"[]"	""	""	""	""
"[nH]1nccc1"	"1"	"4"	"-3.5640054"	"1.3145046"	"28.894995"	"-31.799316"	"-4.7787161"	"-12.12071"	"-3.5640054"	"pyrazole"	"C031280"	"288-13-1"	"FOXO3"	"2309"	"mRNA"	"Mus musculus"	"10090"	"pyrazole results in decreased expression of FOXO3 mRNA"	"decreases^expression"	"17945193"	"decreases^expression"	"Expression"	"Decrease"	"68.079002"	"0.40970001"	"1"	"1"	"4"	"0.46834329"	"0"	"28.68"	"0.08764828"	"0.63303047"	"0.85707015"	"0.25365406"	"0.18535596"	"0.031172263"	"0.35640666"	"0.015575731"	"0.017661087"	"0.02570143"	"0.30072397"	"0.014276104"	"0.017357007"	"0.74377811"	"0.99999464"	"0.00031708746"	"0.00096458977"	"0.16983332"	"0.089083619"	"0.0008046868"	"0.0029529766"	"0.00039503843"	"0.45651022"	"0.0011265819"	"0.030926889"	"0.0003590089"	"0.028248791"	"0.0053945696"	"0.0016810804"	"0.88169599"	"0.03699607"	"-4.6964431"	"31.023586"	"4.3225598"	"-11.047732"	"-8.3870192"	"2.0701149"	"-0.80467314"	"5.9812975"	"0.92300624"	"-13.217488"	"2.2489338"	"27.142303"	"6.6498642"	"36.680885"	"63.803799"	"42.923615"	"22.489336"	"14.17216"	"30.864676"	"40.558357"	"61.729351"	"73.439316"	"61.419155"	"11.554866"	"84.994186"	"9.8875532"	"32.919735"	"0.58162081"	"72.586273"	"6.1264057"	"17.215975"	"67.429237"	"97.906166"	"4.6529665"	"3.0632029"	"79.100426"	"71.306709"	"5.544785"	"1.8611865"	"16.905777"	"31.795269"	"4.7692904"	"21.752617"	"14.036448"	"64.094612"	"27.219852"	"16.789454"	"91.89608"	"18.57309"	"67.778206"	"45.172546"	"33.811554"	"18.030245"	"62.504848"	"23.070957"	"14.773168"	"2.7142303"	"98.720436"	"0.54284608"	"0"	"1"	"[[1,1,9,7,5,3,1,9,7,5,3],[1280,986,986,986,986,986,1298,1298,1298,1298,1298],[10398,10379,10379,10379,10379,10379,10399,10399,10399,10399,10399],[3,10,10,10,10,10,10,10,10,10,10],[1.5,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5]]"	"4 5 6 7 8"	"[[1,9,7,5,3],[1,9,7,5,3],1,1,[1,9,7,5,3]]"	""	""	""	""
"[nH]1nccc1"	"1"	"4"	"-3.4925089"	"1.9078221"	"28.861376"	"-24.188133"	"-4.7095356"	"-11.747894"	"-3.4925089"	"pyrazole"	"C031280"	"288-13-1"	"FOXO3"	"2309"	"mRNA"	"Mus musculus"	"10090"	"pyrazole results in decreased expression of FOXO3 mRNA"	"decreases^expression"	"17945193"	"decreases^expression"	"Expression"	"Decrease"	"68.079002"	"0.40970001"	"1"	"1"	"4"	"0.46834329"	"0"	"28.68"	"0.08764828"	"0.63303047"	"0.85707015"	"0.25365406"	"0.18535596"	"0.031172263"	"0.35640666"	"0.015575731"	"0.017661087"	"0.02570143"	"0.30072397"	"0.014276104"	"0.017357007"	"0.74377811"	"0.99999464"	"0.00031708746"	"0.00096458977"	"0.16983332"	"0.089083619"	"0.0008046868"	"0.0029529766"	"0.00039503843"	"0.45651022"	"0.0011265819"	"0.030926889"	"0.0003590089"	"0.028248791"	"0.0053945696"	"0.0016810804"	"0.88169599"	"0.03699607"	"-4.6964431"	"31.023586"	"4.3225598"	"-11.047732"	"-8.3870192"	"2.0701149"	"-0.80467314"	"5.9812975"	"0.92300624"	"-13.217488"	"2.2489338"	"27.142303"	"6.6498642"	"36.680885"	"63.803799"	"42.923615"	"22.489336"	"14.17216"	"30.864676"	"40.558357"	"61.729351"	"73.439316"	"61.419155"	"11.554866"	"84.994186"	"9.8875532"	"32.919735"	"0.58162081"	"72.586273"	"6.1264057"	"17.215975"	"67.429237"	"97.906166"	"4.6529665"	"3.0632029"	"79.100426"	"71.306709"	"5.544785"	"1.8611865"	"16.905777"	"31.795269"	"4.7692904"	"21.752617"	"14.036448"	"64.094612"	"27.219852"	"16.789454"	"91.89608"	"18.57309"	"67.778206"	"45.172546"	"33.811554"	"18.030245"	"62.504848"	"23.070957"	"14.773168"	"2.7142303"	"98.720436"	"0.54284608"	"0"	"1"	"[9,381,10341,2,2.8]"	"9 10"	"[9,9]"	""	""	""	""
"[nH]1nccc1"	"1"	"4"	"-3.4652543"	"1.9802711"	"28.859594"	"-19.934824"	"-4.8854804"	"-15.695621"	"-3.4652543"	"pyrazole"	"C031280"	"288-13-1"	"FOXO3"	"2309"	"mRNA"	"Mus musculus"	"10090"	"pyrazole results in decreased expression of FOXO3 mRNA"	"decreases^expression"	"17945193"	"decreases^expression"	"Expression"	"Decrease"	"68.079002"	"0.40970001"	"1"	"1"	"4"	"0.46834329"	"0"	"28.68"	"0.08764828"	"0.63303047"	"0.85707015"	"0.25365406"	"0.18535596"	"0.031172263"	"0.35640666"	"0.015575731"	"0.017661087"	"0.02570143"	"0.30072397"	"0.014276104"	"0.017357007"	"0.74377811"	"0.99999464"	"0.00031708746"	"0.00096458977"	"0.16983332"	"0.089083619"	"0.0008046868"	"0.0029529766"	"0.00039503843"	"0.45651022"	"0.0011265819"	"0.030926889"	"0.0003590089"	"0.028248791"	"0.0053945696"	"0.0016810804"	"0.88169599"	"0.03699607"	"-4.6964431"	"31.023586"	"4.3225598"	"-11.047732"	"-8.3870192"	"2.0701149"	"-0.80467314"	"5.9812975"	"0.92300624"	"-13.217488"	"2.2489338"	"27.142303"	"6.6498642"	"36.680885"	"63.803799"	"42.923615"	"22.489336"	"14.17216"	"30.864676"	"40.558357"	"61.729351"	"73.439316"	"61.419155"	"11.554866"	"84.994186"	"9.8875532"	"32.919735"	"0.58162081"	"72.586273"	"6.1264057"	"17.215975"	"67.429237"	"97.906166"	"4.6529665"	"3.0632029"	"79.100426"	"71.306709"	"5.544785"	"1.8611865"	"16.905777"	"31.795269"	"4.7692904"	"21.752617"	"14.036448"	"64.094612"	"27.219852"	"16.789454"	"91.89608"	"18.57309"	"67.778206"	"45.172546"	"33.811554"	"18.030245"	"62.504848"	"23.070957"	"14.773168"	"2.7142303"	"98.720436"	"0.54284608"	"0"	"1"	"[[1,1,1,9,7,5,3,1,9,7,5,3],[1557,1579,496,496,496,496,496,494,494,494,494,494],[10414,10416,10349,10349,10349,10349,10349,10349,10349,10349,10349,10349],[1,1,10,10,10,10,10,10,10,10,10,10],[3.4,1.1,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5]]"	"11 12 13 14"	"[[1,9,7,5,3,1,9,7,5,3],1,1,1]"	""	""	""	""
