"S","rmsd","rmsd_refine","E_conf","E_place","E_refine"
"-46.017475","93.428589","0.58226466","-4318.689","19.661777","-46.017475"
"-41.240635","97.215668","2.2794943","-4304.1953","19.874214","-41.240635"
"-40.888409","75.180779","1.6026454","-4324.6958","20.240923","-40.888409"
"-40.354778","49.284748","0.66001916","-4315.5024","16.810204","-40.354778"
"-39.806538","98.890961","1.5284466","-4309.1162","20.135321","-39.806538"
"-37.675632","100.45012","0.84137392","-4300.4067","20.435804","-37.675632"
"-37.54105","89.560959","1.4743702","-4322.5908","19.884504","-37.54105"
"-36.174419","87.623955","0.64782572","-4322.8149","17.178841","-36.174419"
"-34.864483","94.596664","0.43780279","-4294.7637","18.904819","-34.864483"
"-34.196003","98.07457","2.5334368","-4310.4204","20.548685","-34.196003"
"-33.895767","91.169495","3.0964429","-4319.9819","20.702206","-33.895767"
"-33.873852","75.066437","1.0587521","-4329.0576","20.44215","-33.873852"
"-33.663399","101.89429","0.45164561","-4306.5435","20.646761","-33.663399"
"-33.161167","95.860153","0.42082909","-4311.5913","19.864901","-33.161167"
"-32.78587","99.607185","6.3807387","-4313.9399","20.573008","-32.78587"
"-32.585457","86.313538","1.3821769","-4300.5176","20.701239","-32.585457"
"-32.440937","100.88938","0.69079691","-4313.666","20.411213","-32.440937"
"-32.211277","92.359451","0.52753627","-4309.9951","19.393913","-32.211277"
"-31.84351","93.959076","1.5983078","-4310.6436","16.931061","-31.84351"
"-31.627651","81.815811","0.74814731","-4308.6318","20.288664","-31.627651"
"-31.40868","53.911884","0.61424178","-4311.7559","19.885706","-31.40868"
"-31.345091","93.757668","3.28073","-4320.9648","18.2778","-31.345091"
"-30.611832","94.043068","2.3287239","-4327.9126","16.844376","-30.611832"
"-30.103008","95.561722","0.97325742","-4285.0991","20.753197","-30.103008"
"-30.043842","94.485649","0.54827291","-4328.2988","20.010538","-30.043842"
"-29.81842","72.183098","0.52874297","-4313.6201","20.00449","-29.81842"
"-29.649485","68.48999","1.3425905","-4325.6514","19.910414","-29.649485"
"-29.607864","98.098213","0.87634206","-4327.1548","19.97797","-29.607864"
"-29.290745","89.517105","0.71095306","-4325.8979","20.127893","-29.290745"
"-29.286583","88.939651","4.759666","-4329.1709","19.236677","-29.286583"
"-29.206497","58.348827","0.87613493","-4305.5024","20.077589","-29.206497"
"-29.023613","79.00489","1.0188086","-4319.835","20.212793","-29.023613"
"-28.600359","98.221657","1.261627","-4322.7383","19.732296","-28.600359"
"-28.575251","81.082672","0.91409808","165362.19","19.567406","-28.575251"
"-28.460846","88.580879","2.4895415","-4303.4795","20.358498","-28.460846"
"-28.43508","80.4991","2.8248994","-4315.7217","19.511305","-28.43508"
"-28.344389","85.733467","0.88979512","-4300.8179","20.031754","-28.344389"
"-28.26449","81.928741","2.3151658","-4308.499","20.383368","-28.26449"
"-28.259787","89.857208","1.2141428","-4305.6089","20.352741","-28.259787"
"-27.946329","70.006729","0.69490111","-4320.7954","20.369488","-27.946329"
"-27.807573","44.945683","2.9973791","-4318.9331","18.680225","-27.807573"
"-27.678532","52.635445","1.3737401","-4313.1563","20.096657","-27.678532"
"-27.284988","90.101578","1.7071027","-4307.3345","20.335649","-27.284988"
"-26.933128","61.024235","0.98527294","-4322.29","20.221643","-26.933128"
"-26.774235","54.315788","1.6248558","-4319.0889","20.659081","-26.774235"
"-26.741302","46.588837","3.7532547","-4311.5234","19.97221","-26.741302"
"-26.695732","96.202492","1.7743382","-4325.2881","20.644938","-26.695732"
"-26.362146","65.895973","0.8701238","-4332.9839","20.764355","-26.362146"
"-26.291277","31.463619","1.5860928","-4309.4507","18.92276","-26.291277"
"-26.182772","52.151203","0.7081821","-4317.4541","20.404837","-26.182772"
"-26.023901","97.566063","0.74216139","-4314.6919","20.220037","-26.023901"
"-25.964746","90.701256","0.80908734","-4336.0308","19.477539","-25.964746"
"-25.551678","104.72568","0.80652046","-4316.8921","20.480043","-25.551678"
"-25.508198","87.67614","0.67164183","-4334.9751","20.647657","-25.508198"
"-25.430607","78.662201","3.8485608","-4314.1899","19.551273","-25.430607"
"-25.413534","96.159874","0.63990682","-4304.4307","20.70821","-25.413534"
"-25.378944","43.308907","1.0872674","-4315.9443","19.781612","-25.378944"
"-25.21829","101.27146","1.9191381","-4302.2017","18.775646","-25.21829"
"-25.009617","76.649551","4.7564979","-4334.3188","20.695518","-25.009617"
"-24.685888","56.913254","1.4692339","-4298.9243","19.932001","-24.685888"
"-24.624735","96.065712","3.066371","-4312.8491","20.601681","-24.624735"
"-24.144238","89.118195","21.41733","-4359.2026","20.761187","-24.144238"
"-24.135502","69.39109","2.0023251","-4319.2246","20.706934","-24.135502"
"-24.022785","48.140812","0.9061271","-4315.3828","20.288361","-24.022785"
"-24.006344","66.619675","3.0754261","-4337.8921","19.938953","-24.006344"
"-23.821577","95.651558","1.6554002","-4314.1694","20.39451","-23.821577"
"-23.720938","93.246376","0.65902668","-4331.6611","18.532839","-23.720938"
"-23.554304","100.61555","0.49788252","-4315.5762","20.519455","-23.554304"
"-23.516691","90.111336","0.83478957","-4326.687","20.454866","-23.516691"
"-23.470835","78.321671","0.87684762","-4295.665","20.444479","-23.470835"
"-23.046082","65.238953","2.3286273","-4328.5342","20.099747","-23.046082"
"-22.910442","65.825981","0.86994934","-4313.4434","20.660988","-22.910442"
"-22.69112","72.711159","1.640783","-4319.1025","20.069632","-22.69112"
"-22.280132","83.807541","0.66762173","-4332.0991","19.353079","-22.280132"
"-22.216623","85.713989","3.4567068","-4307.2813","20.236729","-22.216623"
"-21.564024","67.075615","3.3716011","-4322.2471","20.423754","-21.564024"
"-21.511139","92.699615","1.2749413","-4323.8564","20.268822","-21.511139"
"-20.693739","85.068481","1.9409945","-4320.0396","20.074413","-20.693739"
"-20.340218","85.982765","0.60790253","-4331.3706","20.183414","-20.340218"
"-20.199099","45.494377","1.0816295","-4314.0938","20.604828","-20.199099"
"-19.625652","33.573715","1.092782","-4311.1074","19.849285","-19.625652"
"-19.425217","71.577927","1.5065902","-4318.4561","19.202684","-19.425217"
"-19.186859","99.735672","1.1098371","-4317.2168","20.356276","-19.186859"
"-19.062706","97.212502","2.6384661","-4314.3872","19.563078","-19.062706"
