"S","rmsd","rmsd_refine","E_conf","E_place","E_refine"
"-41.751247","80.326241","0.81250441","-4224.9321","21.414497","-41.751247"
"-40.316147","48.041668","0.67882478","-4220.915","19.159554","-40.316147"
"-39.652157","98.035683","1.4910899","-4209.605","22.265688","-39.652157"
"-38.993225","61.44191","2.5976567","-4242.9106","18.72016","-38.993225"
"-38.535824","94.041222","0.47697327","-4205.1392","20.953896","-38.535824"
"-38.415581","81.495361","1.3848132","-4214.4907","21.297144","-38.415581"
"-36.133667","42.819225","1.2972662","-4227.4697","19.065094","-36.133667"
"-34.836536","87.3088","0.5229699","-4218.6909","21.495001","-34.836536"
"-34.463139","96.863609","1.8935987","-4224.3003","22.054447","-34.463139"
"-33.636486","37.300819","2.6240768","-4223.4121","18.595373","-33.636486"
"-33.255013","96.652283","0.42296523","-4217.0479","22.263565","-33.255013"
"-33.165375","34.195454","2.0825989","-4229.4673","22.112665","-33.165375"
"-32.572243","92.340614","0.53473508","-4216.6948","21.585443","-32.572243"
"-31.301355","94.909584","0.43853036","-4215.4141","19.462664","-31.301355"
"-30.398844","60.128384","0.54711497","-4206.5928","21.615297","-30.398844"
"-30.306648","79.29612","1.1540073","-4219.1816","21.163204","-30.306648"
"-29.733105","91.109055","7.5986471","-4245.6304","21.303129","-29.733105"
"-29.485142","96.696289","1.1635406","-4221.7271","22.140129","-29.485142"
"-29.104053","85.124619","0.81284499","-4216.3838","20.165722","-29.104053"
"-29.018173","86.70887","0.61576337","-4239.9214","19.554262","-29.018173"
"-28.898933","71.688957","0.53636104","-4221.9546","19.525705","-28.898933"
"-28.756672","38.020477","2.9504225","-4225.1128","19.169472","-28.756672"
"-28.723253","71.237656","1.3207884","-4224.1846","21.528658","-28.723253"
"-28.502203","99.287315","1.271036","-4228.1245","22.15123","-28.502203"
"-28.342817","71.055664","0.84482312","-4223.2397","22.116718","-28.342817"
"-28.232058","78.025131","0.94318104","-4216.1836","21.588068","-28.232058"
"-27.767967","105.2411","1.2400646","-4215.9463","21.530008","-27.767967"
"-27.68321","69.022972","0.59366924","-4239.1919","20.804073","-27.68321"
"-27.612062","93.554657","0.86453879","-4227.5063","21.93663","-27.612062"
"-27.192881","72.189796","0.6561088","-4215.1187","21.237181","-27.192881"
"-26.80043","78.626541","1.1001534","-4213.3032","21.679373","-26.80043"
"-26.453854","68.277542","1.6817493","-4211.7261","22.004328","-26.453854"
"-26.432314","35.366856","1.3031814","-4212.1528","21.544254","-26.432314"
"-26.303484","105.21146","1.9611483","-4233.3618","21.578867","-26.303484"
"-26.217838","39.09713","1.2203858","-4224.0474","21.272234","-26.217838"
"-26.206203","97.883194","0.95043731","-4212.1704","21.603022","-26.206203"
"-26.012249","76.937073","0.85629743","-4220.7925","22.004608","-26.012249"
"-25.662041","84.197906","0.94910371","-4242.2153","21.69582","-25.662041"
"-25.307665","44.692406","3.3570914","-4197.7036","21.243057","-25.307665"
"-25.142906","66.287155","1.8951381","-4220.7402","20.514181","-25.142906"
"-25.134436","45.329662","1.4751899","-4223.9004","22.159296","-25.134436"
"-25.083769","43.021378","1.0864791","-4221.3496","22.157408","-25.083769"
"-24.975985","87.831329","0.84847695","-4152.8325","21.240101","-24.975985"
"-24.948772","105.05967","0.91208631","-4236.8223","21.602293","-24.948772"
"-24.915012","102.28018","0.9846952","-4219.1606","21.552032","-24.915012"
"-24.794567","78.063881","0.67119855","-4209.395","21.25947","-24.794567"
"-24.732681","67.447052","0.4636566","-4230.186","20.962933","-24.732681"
"-24.589935","42.219791","0.79616272","-4209.8193","20.580812","-24.589935"
"-24.558237","79.800224","1.7432475","-4218.7036","21.489624","-24.558237"
"-24.115936","59.999249","0.76283222","-4215.6196","19.960703","-24.115936"
"-23.99205","35.897781","0.99274153","-4217.2783","22.006542","-23.99205"
"-23.722713","83.899155","0.69979721","-4218.2793","21.980167","-23.722713"
"-23.624546","78.735306","0.56358886","-4214.3672","21.198538","-23.624546"
"-23.616596","67.60466","0.53002393","-4221.2114","21.694038","-23.616596"
"-23.58329","93.74752","0.65585673","-4237.0933","20.920347","-23.58329"
"-23.53371","68.802536","0.67793536","-4239.3916","20.575026","-23.53371"
"-23.249262","40.363785","5.6715827","-4212.2236","22.242481","-23.249262"
"-22.384352","51.062527","1.3392481","-4209.1777","18.757561","-22.384352"
"-22.372145","98.936089","2.7450583","-4216.1943","21.84214","-22.372145"
"-22.223248","43.57962","2.007906","-4218.0439","22.185877","-22.223248"
